url,name,price,brand,category,description,features,images
https://y2k-wave.com/products/y2k-graphic-hoodie,Y2K Graphic Hoodie,49.90,y2k,hoodie,"Embrace the nostalgia of the Y2K era with our Y2K Graphic Hoodie.
Our Y2K Graphic Hoodie, made from quality materials, features a cartoon print on the front and back, a hood without drawstring and is available in 2 colors.","Made of cotton and polyester, Comfortable materials, Hood without drawstring, Y2K cartoon prints on front and back, Gathered at cuffs and waistline, Available in 4 sizes and 2 colors, Regular US/EU sizing, Free standard shipping worldwide",//y2k-wave.com/cdn/shop/files/1_7c404523-0c5c-406e-834c-d51fc5fa1cc1_800x.png?v=1698700906|//y2k-wave.com/cdn/shop/files/2_2889e147-5068-4afb-a2a0-685525aef9d2_800x.png?v=1698700906|//y2k-wave.com/cdn/shop/files/3_628aa9ff-752d-40df-80b7-f970aa338677_800x.png?v=1698700906|//y2k-wave.com/cdn/shop/files/4_5a0ea562-20ca-40aa-9cc5-51c664fb8064_800x.png?v=1698700906|//y2k-wave.com/cdn/shop/files/5_0187f51a-1b73-473a-be3e-3627ab89b2d6_800x.png?v=1698700906|//y2k-wave.com/cdn/shop/files/6_a9ac205f-3716-44b7-8024-d8081de7c588_800x.png?v=1698700906|//y2k-wave.com/cdn/shop/files/7_9b1703ad-7bab-4240-8aa1-ea565595b5bc_800x.png?v=1698700906|//y2k-wave.com/cdn/shop/files/8_c9d795f8-3fae-4697-a095-ea69d835e851_800x.png?v=1698700907|//y2k-wave.com/cdn/shop/files/9_05c00b33-5a54-4839-8dcd-04d9fffdf9f2_800x.png?v=1698700905|//y2k-wave.com/cdn/shop/files/10_f1465dd6-e861-4537-bf1b-449f1d6e47f8_800x.png?v=1698700906
https://y2k-wave.com/products/lucky-me-i-see-ghosts-hoodie,Lucky Me I See Ghosts Hoodie,59.90,y2k,hoodie,"Add a touch of Y2K Streetwear to your wardrobe with our Lucky Me I See Ghosts Hoodie.
Our Lucky Me I See Ghosts Hoodie, made from quality materials, features a hood with drawstring, embossed prints, and an oversized fit. Get yours today!","Made of cotton and polyester, Comfortable materials, Hood with drawstring, This item is unisex, Embossed prints, Gathered at cuffs and waistline, Available in 5 sizes and 2 colors, Oversized fit, Regular US/EU sizing, Free standard shipping worldwide",//y2k-wave.com/cdn/shop/files/1_529a075c-f96d-48aa-aed9-0fa260387cb2_800x.png?v=1699313211|//y2k-wave.com/cdn/shop/files/2_2c41b736-59b3-4879-9994-88de48df0ce4_800x.png?v=1699313211|//y2k-wave.com/cdn/shop/files/3_ab320b3b-2679-4a7c-a458-a8df8c5a336a_800x.png?v=1699313211|//y2k-wave.com/cdn/shop/files/4_6c7522bc-b93b-40b4-8c9e-288e9ca989f1_800x.png?v=1699313211|//y2k-wave.com/cdn/shop/files/5_76b26587-79cf-4518-9b8f-87113cf39202_800x.png?v=1699313211
https://y2k-wave.com/products/kic-full-zip-hoodie,KIC Full Zip Hoodie,49.90,y2k,hoodie,"Add a touch of Y2K streetwear to your outfits with our KIC Full Zip Hoodie.
Our KIC Full Zip Hoodie, made from quality material, features a ""KIC"" logo printed on the front, a Y2K logo printed on the sleeve and is available in 2 colors.","Made of polyester, Comfortable material, Hood without drawstring, Full zip hoodie, ""KIC"" logo print on front, Y2K logo printed on sleeve, Gathered at cuffs and waistline, Available in 6 sizes and 2 colors, Regular US/EU sizing, Free standard shipping worldwide",//y2k-wave.com/cdn/shop/files/1_b2490936-701f-4c8d-b935-4d2cfcb7e09e_800x.png?v=1704197034|//y2k-wave.com/cdn/shop/files/2_407db9c8-10b4-42c2-89c8-58301d72a02f_800x.png?v=1704197034|//y2k-wave.com/cdn/shop/files/3_3f6a5f90-9d2b-4b02-b381-4497446c6fc6_800x.png?v=1704197034|//y2k-wave.com/cdn/shop/files/4_e94b820c-1919-42f9-a186-bc41501c349d_800x.png?v=1704197034|//y2k-wave.com/cdn/shop/files/5_07492d55-291b-40d9-9dc0-2e2d5a07c66d_800x.png?v=1704197034|//y2k-wave.com/cdn/shop/files/6_737371ee-382a-4f5f-ab49-43732458e022_800x.png?v=1704197033|//y2k-wave.com/cdn/shop/files/7_750397fd-13b7-4ba3-8f63-ff204026618d_800x.png?v=1704197033
https://y2k-wave.com/products/broken-planet-hoodie,Broken Planet Hoodie,49.90,y2k,hoodie,"Embrace the nostalgia of the Y2K era with our Broken Planet Hoodie.
Our Broken Planet Hoodie, made of quality materials, features an embossed ""broken planet"" print, a hood with drawstring, and is available in 2 colors.","Made of polyester and cotton, Comfortable materials, Hood with drawstring, Embossed ""broken planet"" print on chest
, Gathered at cuffs and waistline, Available in 5 sizes and 2 colors, Regular US/EU sizing, Free standard shipping worldwide",//y2k-wave.com/cdn/shop/files/1_761910ae-e99c-42ec-adee-b59f62defc41_800x.png?v=1699964389|//y2k-wave.com/cdn/shop/files/2_4d366ff0-fd33-4978-81da-a0f3ce168226_800x.png?v=1699964389|//y2k-wave.com/cdn/shop/files/3_e0b5e152-9e8b-4813-a881-0fe2e3e4dc6a_800x.png?v=1699964389|//y2k-wave.com/cdn/shop/files/4_90f8a748-0c1a-48f0-b482-c5c40d214e6d_800x.png?v=1699964390|//y2k-wave.com/cdn/shop/files/5_06e0263f-7e2d-4051-a46a-eed8a2f88671_800x.png?v=1699964389|//y2k-wave.com/cdn/shop/files/6_7e2c4f71-b9c5-4ae5-af0b-84ee0c0e3b13_800x.png?v=1699964389
https://y2k-wave.com/products/trapped-in-time-hoodie,Trapped In Time Hoodie,49.90,y2k,hoodie,"Embrace the nostalgia of the Y2K era with our Trapped In Time Hoodie.
Our Trapped In Time Hoodie, made of quality materials, features an embossed text print with a skeleton on front and back. Get yours today!","Made of polyester and cotton, Comfortable materials, Hood without drawstring, Embossed ""Trapped in time"" and skeleton print on front, Embossed ""no way back"" and skeleton print on back, Gathered at cuffs and waistline, Available in 5 sizes, Regular US/EU sizing, Free standard shipping worldwide",//y2k-wave.com/cdn/shop/files/1_fa7fcfdb-0f74-46e7-bbf4-4d9b4b2f3a70_800x.png?v=1699964430|//y2k-wave.com/cdn/shop/files/2_36678484-de05-4ce4-a041-2a80ae170ef7_800x.png?v=1699964429|//y2k-wave.com/cdn/shop/files/3_d8422707-4c55-4bd4-998f-334ff5373a5e_800x.png?v=1699964430|//y2k-wave.com/cdn/shop/files/4_a1b2b561-1066-4510-9382-4c5d9f168b26_800x.png?v=1699964430|//y2k-wave.com/cdn/shop/files/5_fe6d18b9-f206-498e-b3e7-b7af3bed7b3b_800x.png?v=1699964429|//y2k-wave.com/cdn/shop/files/6_b3cad096-c23f-45ea-81e2-b6a521568349_800x.png?v=1699964430
https://y2k-wave.com/products/flower-hoodie,Flower Hoodie,79.90,y2k,hoodie,"Embrace the nostalgia of the Y2K era with our Flower Hoodie.
Our Flower Hoodie, made from quality material, features an embossed flower print on the front and back, a hood with drawstring and is available in 2 colors.","Made of cotton, Comfortable material, Hood without drawstring, Embossed flower prints on front and back, Embroidered ""Ready made Tears"" logo, Gathered at cuffs and waistline, Available in 4 sizes and 2 colors, Regular US/EU sizing, Free standard shipping worldwide",//y2k-wave.com/cdn/shop/files/1_e1697f0d-ac2a-4d2a-a4ec-21505a9b4a3e_800x.png?v=1701270108|//y2k-wave.com/cdn/shop/files/2_c9308f18-70d1-4971-aa54-e34f68a281a9_800x.png?v=1701270108|//y2k-wave.com/cdn/shop/files/3_5623d59e-75d8-4f10-a36c-45ea9d82bbb8_800x.png?v=1701270108|//y2k-wave.com/cdn/shop/files/4_911def71-9f64-4d23-9d03-e9efda75588c_800x.png?v=1701270108|//y2k-wave.com/cdn/shop/files/5_8cb57788-c239-460f-9dcf-a77ca9b90df4_800x.png?v=1701270108
https://y2k-wave.com/products/out-of-sight-hoodie,Out Of Sight Hoodie,49.90,y2k,hoodie,"Embrace the nostalgia of the Y2K era with our Out Of Sight Hoodie.
Our Out Of Sight Hoodie, made of quality materials, features an embossed text print with two moons on front, and Y2K prints on hood and sleeve. Shop now!","Made of polyester and cotton, Comfortable materials, Hood without drawstring, Embossed ""out of sight"" and moons print on front, Y2K embossed prints on hood and sleeve, Gathered at cuffs and waistline, Available in 5 sizes, Regular US/EU sizing, Free standard shipping worldwide",//y2k-wave.com/cdn/shop/files/1_ba42abff-e302-4074-bc73-5a510be2db2b_800x.png?v=1701270131|//y2k-wave.com/cdn/shop/files/2_96f58476-4a80-412a-8bad-48992c71a0b2_800x.png?v=1701270130|//y2k-wave.com/cdn/shop/files/3_6e5f7f63-66e1-46c7-8310-46c6a09f457a_800x.png?v=1701270131|//y2k-wave.com/cdn/shop/files/4_ec8f7976-9b2b-43bd-87e2-ff8a1c24e9ad_800x.png?v=1701270131|//y2k-wave.com/cdn/shop/files/5_a008ce07-1187-499a-8b51-8678c4656497_800x.png?v=1701270131|//y2k-wave.com/cdn/shop/files/6_5532a834-e9c7-4400-95f6-ca0592a3722c_800x.png?v=1701270131|//y2k-wave.com/cdn/shop/files/7_db29c5ff-d1ec-4b5f-900d-1b6888b53eb4_800x.png?v=1701270132
https://y2k-wave.com/products/los-angeles-hoodie,Los Angeles Hoodie,39.90,y2k,hoodie,"Embrace the nostalgia of the Y2K era with our Los Angeles Hoodie.
Our Los Angeles Hoodie, made from quality material, features a Los Angeles print on the chest, a hood with drawstring and is available in 5 colors.","Made of polyester, Comfortable material, Hood with drawstring, Los Angeles print on front
, Front kangaroo pouch pocket, Gathered at cuffs and waistline, Available in 5 sizes and 5 colors, Regular US/EU sizing, Free standard shipping worldwide",//y2k-wave.com/cdn/shop/files/1_1de7a5b9-a019-4f8d-b2b6-efb5a618268f_800x.png?v=1702653827|//y2k-wave.com/cdn/shop/files/2_173d965e-c7fe-44f1-b33c-48dc37caa041_800x.png?v=1702653827|//y2k-wave.com/cdn/shop/files/3_4d9f10ee-fd5f-474d-9f50-d2e509af0370_800x.png?v=1702653827|//y2k-wave.com/cdn/shop/files/4_a5831c48-d0b7-4b71-94a0-55d4ab04eb64_800x.png?v=1702653827|//y2k-wave.com/cdn/shop/files/5_8f9be389-2c57-412c-a127-c09f91caacf3_800x.png?v=1702653828
https://y2k-wave.com/products/brooklyn-hoodie,Brooklyn Hoodie,39.90,y2k,hoodie,"Elevate your Y2K style with our Brooklyn Hoodie.
Our Brooklyn Hoodie, made from quality material, features a Brooklyn print on the chest, a hood with drawstring and is available in 3 colors.","Made of polyester, Comfortable material, Hood with drawstring, Brooklyn print on front
, Front kangaroo pouch pocket, Gathered at cuffs and waistline, Available in 5 sizes and 3 colors, Regular US/EU sizing, Free standard shipping worldwide",//y2k-wave.com/cdn/shop/files/1_5f355244-a056-411c-8eb8-1bd9135352fb_800x.png?v=1702653838|//y2k-wave.com/cdn/shop/files/2_c2db295f-f523-41eb-baaa-1f15d39f6db3_800x.png?v=1702653838|//y2k-wave.com/cdn/shop/files/3_9276ac0f-f5d3-410c-b33d-610b33ca1366_800x.png?v=1702653838
https://y2k-wave.com/products/dty-hoodie,DTY Hoodie,39.90,y2k,hoodie,"Embrace the nostalgia of the Y2K era with our DTY Hoodie.
Our DTY Hoodie, made from quality material, features a ""DTY"" print in arabic style on the front and a star print on the hood, and is available in 4 colors.","Made of polyester, Comfortable material, Hood without drawstring, ""DTY"" print on front, Star print on hood
, Gathered at cuffs and waistline, Available in 6 sizes and 4 colors, Regular US/EU sizing, Free standard shipping worldwide",//y2k-wave.com/cdn/shop/files/1_f45d8cb3-52a3-488b-ad7c-69670bc2f056_800x.png?v=1701270223|//y2k-wave.com/cdn/shop/files/2_dfb82cd0-f59a-443a-a15a-3a7aacce3bb0_800x.png?v=1701270224|//y2k-wave.com/cdn/shop/files/3_25d31ec3-8c8d-4afe-8ad9-450edef2b5a3_800x.png?v=1701270225|//y2k-wave.com/cdn/shop/files/4_a1f55fd8-b4ba-4f3a-a3b5-60fbd86c4dab_800x.png?v=1701270224|//y2k-wave.com/cdn/shop/files/5_688dfdf9-cfb7-44a5-9e16-67d4d7ccc987_800x.png?v=1701270224
